"probe_id","mgi_symbol","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10608001","Eif2s3y",9.180448,8.283177,8.916095,8.999737,9.047855,8.851745,8.870125,9.107681,8.596077,9.264654,9.016063,9.118305,9.426785
"10468828","Eif3a",9.251643,9.213179,9.382942,9.404958,9.391088,9.243789,9.302675,9.6397,9.585249,9.482831,9.386814,9.520687,9.999434
"10526977","Eif3b",10.39686,10.37125,10.53403,10.47929,10.62009,10.56578,10.573,10.45574,10.34965,10.48569,10.31101,10.54381,10.47489
"10567941","Eif3c",10.60713,10.66912,10.61483,10.72168,10.6974,10.67139,10.76836,10.72345,10.74022,10.68163,10.77174,10.63784,10.94437
"10430265","Eif3d",10.02775,9.865108,9.901886,10.02435,9.993414,10.08101,9.993359,10.00004,9.858829,10.09375,9.859306,9.896902,9.888912
"10428398","Eif3e",9.257643,9.571375,9.60019,9.462808,9.37642,9.195277,9.429564,9.553813,9.801088,9.629834,9.782577,9.547497,9.944126
"10556169","Eif3f",11.03409,10.78346,11.25349,10.79239,11.24526,10.70013,10.53901,10.99439,11.20861,11.53181,11.1855,10.90628,10.8153
"10591357","Eif3g",10.51006,10.29171,10.40422,10.21618,10.57098,10.12683,10.04601,10.32637,10.34111,10.69972,10.25837,10.02165,10.37041
"10428554","Eif3h",11.00456,11.00833,11.18762,11.03246,11.14238,10.88028,10.92758,11.11023,11.39917,11.40806,11.34529,11.00659,11.42461
"10516640","Eif3i",10.08543,9.77042,10.17756,9.712423,10.17333,9.650242,9.690699,9.941063,9.834452,10.41392,9.791321,9.523342,10.0581
"10475405","Eif3j1",10.27173,10.64718,10.34783,10.54722,10.28388,10.68325,10.70798,10.15398,10.43539,9.829558,10.07679,10.29426,10.6372
"10458680","Eif3j2",9.825918,10.20673,9.902878,10.20199,9.850917,10.20889,10.32452,9.933066,10.08078,9.488315,9.806376,9.960115,10.46208
"10561552","Eif3k",10.40086,10.29405,10.48356,10.34035,10.44001,10.17417,10.1875,10.37538,10.49102,10.67831,10.5678,10.19352,10.71986
"10425226","Eif3l",10.64023,10.80015,10.69994,10.72295,10.83803,10.81381,10.64409,10.91359,10.79572,10.76822,10.40081,10.66458,10.1446
"10485635","Eif3m",8.642004,8.868633,8.893669,8.734655,8.937881,8.634907,8.682077,9.106716,9.235582,9.301569,9.415468,8.690405,10.03097
"10466402","Eif4a1",12.15086,12.3197,12.18296,12.36667,12.18296,12.28166,12.41182,12.2067,12.14902,12.09729,12.208,12.04389,11.82532
"10434733","Eif4a2",10.27825,10.21486,10.14831,10.10064,10.02385,9.686356,9.717079,10.47637,10.65352,10.41407,10.51807,10.52434,11.15538
"10393642","Eif4a3",7.712513,7.486534,7.273319,7.691442,7.619725,7.458591,7.481354,7.961675,7.277999,7.979583,7.188721,7.580927,7.420927
"10539177","Eif4a3l1",9.337999,9.173837,9.309953,9.281187,9.299563,9.160847,9.14377,9.399972,9.016294,9.475849,9.143278,9.181145,8.898327
"10427083","Eif4b",10.44431,10.20214,10.36863,10.19094,10.38677,10.08559,10.04752,10.74917,11.09428,10.87809,10.90033,10.44775,10.93142
"10599855","Eif4e",8.976945,9.116007,9.052063,9.095798,9.086837,8.850426,8.9603,8.999483,8.580588,9.103362,8.892519,8.802217,8.923602
"10359518","Eif4e1b",6.524727,6.497868,6.694318,6.564358,6.391136,6.960941,6.963857,6.470443,6.484538,6.299154,6.621227,6.669545,7.229425
"10348180","Eif4e2",9.117201,9.199455,9.119834,9.360076,9.248512,9.273966,9.358989,9.072827,8.760933,9.193436,8.931971,9.131356,9.311038
"10546685","Eif4e3",8.493788,9.129606,8.645514,9.298342,8.094783,9.441889,9.294009,9.318626,9.276422,8.005016,8.810112,9.186094,7.977512
"10571162","Eif4ebp1",10.26812,10.90314,10.57067,11.03651,10.18,11.0058,10.93064,11.19283,10.81947,10.19137,10.37,11.05855,10.65539
"10369474","Eif4ebp2",9.814281,9.692767,9.473441,9.81652,9.49643,9.820354,9.63814,10.06012,9.816121,9.645141,9.542958,9.904324,9.680533
"10454944","Eif4ebp3",8.369053,8.124058,8.15135,8.146744,8.205584,8.156608,8.114894,8.815443,9.393027,8.34757,8.780373,8.357588,8.297304
"10373709","Eif4enif1",7.898851,7.844832,7.846881,7.801077,7.944651,7.812398,7.749731,8.158097,7.95965,8.018419,8.167579,8.02216,7.735863
"10434481","Eif4g1",10.63812,10.7745,10.50836,10.87289,10.55846,10.71866,10.78149,10.65713,10.31475,10.57119,10.18791,10.73283,10.92676
"10566966","Eif4g2",11.36998,11.34596,11.31898,11.44214,11.29381,11.33689,11.4385,11.31438,11.19327,11.11871,11.22004,11.43757,11.25804
"10509463","Eif4g3",9.403059,9.42491,9.575161,9.658184,9.789873,9.536494,9.425366,9.380792,9.041615,9.494862,9.349974,9.571737,9.113885
"10534316","Eif4h",10.58699,10.62652,10.52695,10.686,10.66584,10.71961,10.68439,10.83392,10.80405,10.73555,10.67708,10.65609,10.23885
"10398678","Eif5",10.7685,10.76884,10.98738,10.85828,10.93507,10.84078,10.93017,10.90634,10.91696,10.84301,10.91001,11.00552,10.91727
"10387733","Eif5a",9.15332,9.280717,9.284868,9.316025,9.337988,9.335703,9.332923,9.086403,8.988187,9.120019,9.091825,9.28494,9.431346
"10491182","Eif5a2",7.083824,7.365029,6.909327,7.233642,6.946781,7.05004,7.218935,7.338824,7.23779,6.920009,7.270742,7.324366,6.996287
"10345626","Eif5b",7.723706,7.827866,7.774588,8.059479,7.913233,7.784111,7.846786,8.12014,7.890104,7.877508,7.867876,7.889814,8.53347
"10488929","Eif6",10.3716,10.19688,10.23833,10.25863,10.36512,10.36613,10.30518,10.20834,10.01788,10.46927,10.19007,10.05162,9.647294
"10395064","Eipr1",8.109838,7.97091,7.871402,8.085956,8.035746,8.284557,8.137508,7.890711,7.571343,8.382971,7.647854,7.66889,7.915072
"10459723","Elac1",7.116832,7.11462,7.033686,7.253716,6.818336,6.877744,6.922259,8.051351,7.770779,7.3535,7.552453,7.671623,7.48013
"10376959","Elac2",8.349163,8.442719,8.436196,8.578677,8.438961,8.476316,8.268269,8.783597,8.186943,8.47685,8.190863,8.470873,8.542876
"10364535","Elane",6.458217,6.528088,6.581338,6.588914,6.147516,6.667291,6.500473,7.48223,7.70709,6.384553,7.298606,6.837757,6.824467
"10501374","Elapor1",6.155135,5.691624,5.999781,5.74298,8.048192,5.930258,5.688263,5.368304,5.530619,5.688808,6.049443,5.524602,10.74253
"10519612","Elapor2",4.892728,4.951409,5.161635,4.864268,5.088156,4.987123,5.017454,4.796653,4.979774,4.827673,4.865266,4.795748,5.040564
"10576873","Elavl1",10.00632,9.993013,9.962791,10.10454,10.02788,10.09365,10.11993,10.08991,9.912205,10.00044,10.00281,9.950325,9.532194
"10514352","Elavl2",5.451335,5.585491,5.571829,5.541411,5.574811,5.708647,5.784382,5.325733,5.642362,5.525355,5.89292,5.586476,5.593925
"10591706","Elavl3",6.266458,6.288539,6.489241,6.268977,6.299222,6.453622,6.472345,6.056782,6.2388,6.064758,6.136199,6.249445,6.183824
"10515095","Elavl4",4.650207,4.709678,4.610581,4.670568,4.533093,4.760181,4.668655,4.770669,4.895649,4.576319,4.567119,4.527148,5.101061
"10416657","Elf1",8.382674,8.366792,8.24299,8.546585,8.232023,8.01977,8.199044,8.478377,8.425241,8.359446,8.56019,8.586472,8.676065
"10498038","Elf2",8.925111,8.77011,8.728146,8.896456,8.959296,8.829908,8.665568,9.136722,9.111594,8.906162,9.264737,9.030605,8.778975
"10358027","Elf3",9.263776,6.847112,8.961794,6.354788,9.141129,7.255888,6.166798,6.761742,6.511998,9.842727,7.52568,7.044137,6.889438
"10604393","Elf4",7.680675,7.903731,7.139693,8.288328,7.394082,7.880045,8.158032,7.988562,7.866509,6.79281,7.940816,8.098597,8.211777
"10474171","Elf5",6.880733,7.490749,6.113091,5.629458,5.834455,5.762721,5.746862,6.106639,5.580439,5.867564,5.522439,5.651941,5.673297
"10526968","Elfn1",6.282629,6.294373,6.354914,6.225758,6.425946,6.411193,6.633039,6.274904,6.347608,6.098472,6.277826,6.432304,6.514095
"10430384","Elfn2",6.250836,6.072595,6.117037,5.848529,6.11929,6.34015,6.344679,6.036816,6.07476,5.819034,6.085265,6.091176,6.465572
"10603870","Elk1",8.609171,8.709282,8.603165,9.017489,8.621987,9.06868,8.995831,8.718075,8.371389,8.576658,8.275155,8.768693,7.883879
"10371959","Elk3",8.688437,9.13421,8.666943,9.572941,8.573376,9.078857,9.218337,9.34066,9.195786,8.400113,9.289468,9.380445,9.115293
"10349752","Elk4",8.823273,8.861314,8.861361,8.952808,8.716372,8.792902,8.832685,9.153199,9.148441,8.953091,8.949006,9.049734,8.782925
"10572419","Ell",8.643953,8.494588,8.398352,8.578238,8.436311,8.388717,8.235179,9.216638,9.256463,8.809538,8.994928,8.766088,8.269423
"10406254","Ell2",8.476158,8.998571,8.810877,9.22473,8.887222,9.048243,9.113228,8.82051,8.614061,8.621301,7.988721,8.899458,10.1236
"10486833","Ell3",5.503383,5.322723,6.25467,5.149553,6.353461,5.323775,5.278765,5.144835,5.370643,6.684152,5.345265,5.064437,5.549827
"10403842","Elmo1",8.430296,8.127975,7.656074,8.207602,7.908905,7.929116,8.088717,8.059262,7.921429,7.954593,8.376598,8.13384,8.155951
"10489660","Elmo2",8.662663,8.772727,8.936608,9.204343,8.941334,9.034158,8.812653,8.631933,8.310718,8.767938,8.596509,8.898779,8.595559
"10574694","Elmo3",7.857509,7.536297,7.674993,7.714137,7.753766,7.666998,7.570071,7.495257,6.710364,7.991724,6.895962,7.29345,7.494893
"10593634","Elmod1",7.066921,6.1418,6.244176,7.34214,6.204654,6.660944,6.391198,7.117431,7.872813,7.487937,8.219625,7.533131,5.658054
"10579976","Elmod2",8.787769,9.276764,8.860121,9.403194,8.735596,9.291607,9.437195,9.502441,8.850693,8.716408,8.664751,9.160114,8.606125
"10545436","Elmod3",8.419149,8.607337,8.348469,8.58146,8.293509,8.869079,8.638404,9.343678,8.472474,8.408735,8.286581,8.903005,7.886693
"10534343","Eln",8.336326,8.541555,8.487555,9.207199,7.921525,8.858292,8.904848,8.416939,8.630408,7.970339,8.573531,8.961045,8.534971
"10517443","Eloa",8.916275,9.150416,8.903385,9.428723,8.707603,9.155699,9.130462,9.105186,8.621511,8.54027,8.699842,9.101274,8.316872
"10448380","Elob",11.76458,11.75457,11.70704,11.76625,11.87841,11.80103,11.82609,11.61939,10.97018,11.79667,11.34362,11.39039,10.89003
"10389732","Elobl",4.691952,4.778655,5.017761,4.414256,4.800165,4.802194,4.90608,4.666754,5.07284,4.623898,4.974652,4.660795,5.035064
"10353296","Eloc",9.79848,10.19994,9.874111,10.24885,9.817027,10.05699,10.14814,9.888774,9.593941,9.711454,9.886128,9.95136,10.05035
"10591735","Elof1",9.107007,9.138463,9.500629,9.358207,9.873675,9.510036,9.14614,9.413419,9.092492,9.760445,9.357586,9.13035,9.612972
"10507539","Elovl1",10.08392,10.30912,9.861479,10.36633,9.950773,10.38269,10.48453,9.775266,9.374309,9.616603,9.577724,9.915229,9.575963
"10408838","Elovl2",8.335265,6.896522,8.261548,5.442047,9.28517,6.132091,5.822167,5.119714,5.164279,8.77934,8.193891,5.956885,5.213028
"10463551","Elovl3",5.216969,5.900978,4.892145,4.980487,4.901197,5.278084,5.11872,7.614066,6.445142,4.569724,6.001893,4.920765,4.626286
"10595392","Elovl4",5.972977,6.116402,9.589973,6.337104,9.36177,7.377777,6.202157,6.253142,6.023204,8.610837,5.999667,5.907362,5.846413
"10587284","Elovl5",9.694012,10.12169,9.726867,10.27694,10.01482,10.29831,10.11596,10.35773,9.977659,9.674896,10.27958,10.0195,9.355707
"10495993","Elovl6",10.12358,9.987226,10.9334,10.21676,11.14313,10.92238,10.5125,8.021122,7.881071,10.7242,8.370546,8.74196,7.47482
"10407072","Elovl7",6.601202,6.244644,6.812333,6.38534,6.849719,6.355888,6.168983,6.777962,6.591219,7.276144,7.113027,6.383835,6.881701
"10513020","Elp1",8.168001,8.096743,8.053125,8.249258,8.012385,8.123334,8.145277,8.52491,8.18263,8.213564,8.387347,8.274564,8.145277
"10454332","Elp2",9.311098,9.318185,9.446741,9.377149,9.352304,9.283398,9.266072,9.713335,9.4519,9.519903,9.500155,9.447115,8.969131
"10420860","Elp3",8.837336,9.226142,8.942038,9.353242,8.89418,9.092656,9.468162,9.140496,9.047612,8.976103,9.003696,8.937259,8.642314
"10485656","Elp4",7.825578,8.222375,8.187421,8.343106,8.043909,8.086877,8.131817,8.700682,8.372602,8.212968,8.460437,8.322075,8.03632
"10387757","Elp5",9.297939,9.312713,9.245434,9.544588,9.389238,9.290672,9.403964,9.319069,8.677893,9.315737,9.331912,9.181876,8.934469
"10589503","Elp6",6.221888,5.962884,6.148715,5.936577,5.679269,6.169357,6.081986,6.067471,5.689037,6.083077,5.890491,5.998351,5.975197
"10407327","Emb",10.88026,10.28172,9.955172,8.10912,9.845521,7.710831,8.019517,9.206395,7.721076,9.78328,8.841694,8.311871,8.066701
"10509645","Emc1",9.492313,9.284127,9.279168,9.411445,9.481947,9.428185,9.2951,9.540139,9.325631,9.422926,9.294995,9.510857,8.837945
"10562774","Emc10",9.120933,8.93984,9.226864,9.08308,9.390604,9.19556,9.035007,9.086002,8.673269,9.399766,8.725653,8.866899,9.291356
"10423941","Emc2",11.4248,12.08039,11.73295,12.03986,11.59755,11.99231,12.06561,11.81248,11.53358,11.38889,11.37733,11.66975,10.96227
"10546944","Emc3",10.04472,10.30407,10.0718,10.55352,10.12053,10.50144,10.49804,10.35299,10.15816,10.07041,9.781637,10.26365,9.2072
"10485830","Emc4",10.87047,11.01576,10.89763,11.02459,10.92,11.06014,11.11226,10.87609,10.44025,11.01841,10.58597,10.6418,10.81956
"10388238","Emc6",8.922419,9.29888,9.006289,9.469162,8.88251,9.44266,9.471772,9.693845,8.964236,9.083388,8.773164,9.116244,9.357894
"10474588","Emc7",10.62936,10.95292,10.86251,11.05583,10.70671,10.78929,10.87807,10.94569,10.63402,10.90625,10.75032,10.79282,10.93231
"10582201","Emc8",8.245337,8.256801,8.352456,8.225154,8.054865,8.36763,8.161553,8.310897,8.107189,8.253696,8.109224,8.197539,7.628899
"10420023","Emc9",7.150123,7.897552,7.54303,8.102723,7.248425,7.938204,7.911098,8.178902,7.208467,7.362741,7.203792,7.787615,7.280575
"10496359","Emcn",10.487,10.89197,10.2823,11.11313,10.00559,10.69705,10.95974,11.02571,11.34295,10.07238,11.25923,10.94961,10.19805
"10600341","Emd",10.0702,9.625814,9.62647,9.500966,9.665527,9.430521,9.32681,9.966044,9.77128,9.996238,9.876378,9.59011,8.957792
"10390050","Eme1",5.580097,5.451587,5.562707,5.515285,5.37378,5.751213,5.8044,5.417202,5.455952,5.293726,5.528577,5.485691,6.03757
"10448755","Eme2",8.748693,8.403376,8.618869,8.359749,8.594716,8.363224,8.24452,8.549896,8.451139,9.022734,8.490396,8.243679,8.494774
"10547758","Emg1",8.618155,8.673035,8.753214,8.959209,8.63169,8.738396,8.756444,8.97192,9.069399,9.003199,9.105894,8.752052,9.616217
"10383953","Emid1",7.611804,7.61961,9.52678,7.387889,9.250577,8.141852,7.593449,7.282297,7.534389,8.326479,7.46576,7.465404,7.835535
"10520604","Emilin1",7.095312,7.063155,6.932932,7.060048,6.953027,7.315294,7.343537,7.336006,6.968935,7.084551,7.297124,7.189098,7.390176
"10452648","Emilin2",8.382092,9.002242,7.92629,9.321097,8.119125,8.954748,9.361293,7.807648,7.897524,7.260425,7.779934,8.610906,7.497543
"10489261","Emilin3",6.921535,7.007451,7.140585,7.051393,7.119712,7.656498,7.488013,6.963846,6.905014,6.846806,6.790599,7.020663,7.450357
"10398240","Eml1",8.317286,7.734923,7.591835,7.867019,7.787653,7.836791,7.764661,8.318274,8.117695,8.07525,8.443835,8.087532,7.247096
"10550605","Eml2",7.778273,7.53711,7.658043,7.607253,7.567868,7.747593,7.521546,7.743909,7.702216,7.902733,7.703192,7.691454,7.626276
"10461311","Eml3",8.126823,7.795946,7.949353,8.129287,8.032473,8.178812,8.203987,8.330991,8.214873,8.185229,8.196959,8.334487,7.959958
"10447141","Eml4",8.641443,8.422726,9.339579,8.573115,9.411188,8.342085,8.383337,8.432112,8.341049,9.343658,8.725204,8.623878,8.821419
"10402020","Eml5",7.045418,6.975523,7.637413,6.941689,7.363935,7.289919,6.847924,7.840676,7.980395,7.791594,7.763251,7.459437,7.147933
"10384838","Eml6",6.991374,6.532859,7.040618,6.680321,7.048877,6.705199,6.634061,6.57889,6.629574,7.284695,6.695761,6.781999,7.014852
"10542355","Emp1",11.00848,11.72122,11.37023,11.70848,10.87926,11.593,11.74689,9.238941,9.357758,9.208019,9.712836,11.99065,9.584723
"10437639","Emp2",9.445791,9.286751,9.273401,9.401709,9.108512,9.28562,9.047723,9.593422,9.455893,9.518771,9.662442,9.729802,8.904911
"10563441","Emp3",10.05984,10.44321,9.968482,10.80946,10.15472,10.45607,10.79078,10.00683,9.944917,9.576262,10.50665,10.29646,9.377033
"10565738","Emsy",8.424776,8.597034,8.521482,8.665474,8.625637,8.593828,8.592226,8.811419,8.902011,8.4314,8.967466,8.843783,8.240618
"10539584","Emx1",7.127187,7.217655,7.285883,7.224003,7.093505,7.707047,7.554497,6.836792,7.248555,7.026795,7.205115,7.103741,7.244577
"10464391","Emx2",9.601443,8.1523,8.266143,5.874862,8.663345,6.517907,6.176506,7.241036,6.436543,9.356745,7.239802,6.679265,6.028773
"10349345","En1",5.774157,5.746398,6.012611,5.856567,5.829169,6.141622,5.879326,5.674311,5.951533,5.714834,5.785327,5.803001,6.499696
"10520368","En2",5.003739,5.161344,5.136652,5.03211,4.874831,5.171599,5.211815,4.933563,4.969603,4.69746,5.094971,4.867966,5.06027
"10360764","Enah",8.925413,8.158442,8.977708,7.880636,9.155153,8.08034,7.823543,8.361605,8.443163,9.489735,9.118898,8.357468,8.671587
"10522961","Enam",4.229555,4.27029,4.295442,4.199402,4.176478,4.397217,4.468107,4.261554,4.505025,4.254508,4.321177,4.129251,4.146128
