"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10338540",NA,12.26248,12.43778,12.33417,11.95127,12.55841,12.66255,12.62079,12.30884,12.28595,12.21631,12.16534,12.30121
"10338541",NA,6.829082,7.028017,6.810378,7.061884,7.367017,7.217952,7.379484,7.210291,7.104845,7.680053,7.828859,7.903296
"10338542",NA,6.943898,6.828888,6.550345,6.677599,7.088186,7.062831,7.15702,8.047309,7.981466,8.259436,6.667263,7.602165
"10338543",NA,3.412227,3.966338,4.559368,3.785233,3.971211,4.30986,3.993443,3.865085,4.367019,4.540857,4.510262,4.237778
"10338544",NA,3.375353,3.303883,3.442461,3.122203,3.389152,3.183913,3.324622,3.079313,3.191855,3.015426,3.366013,3.13073
"10338545",NA,4.59719,5.791409,5.51626,5.433847,5.353439,5.614628,5.109653,5.714488,5.01537,5.692733,5.565136,5.26311
"10338546",NA,4.066449,4.234595,4.769979,3.858144,4.843583,3.757604,4.586515,5.129702,4.402976,4.219803,4.118377,4.501835
"10338547",NA,4.087978,4.207586,4.145221,3.78303,4.401862,3.990617,3.988516,3.352829,3.743993,3.735497,3.670491,3.895856
"10338548",NA,3.264673,3.269248,3.301146,3.560654,3.48711,3.660607,3.764049,3.433243,3.504628,3.321431,3.326495,3.396284
"10338549",NA,3.706773,3.91987,3.652905,3.551155,3.612769,3.398782,3.380479,3.670177,3.614972,3.367859,3.401444,3.272677
"10338550",NA,4.481328,4.70426,4.33626,4.568292,5.076853,3.98735,4.571343,4.505268,4.343558,4.211578,4.458377,4.104914
"10338551",NA,4.533951,5.242313,5.050778,5.331368,5.222903,6.011434,4.791179,5.574828,5.317587,5.314603,5.459371,5.254737
"10338552",NA,8.50379,8.662933,8.077435,8.572192,8.276665,8.458882,7.887674,8.394245,8.663081,8.123428,8.165491,8.388517
"10338553",NA,4.407706,4.712864,3.70508,4.530402,4.48272,4.025406,4.671093,4.278402,4.729096,4.924746,4.66669,5.167835
"10338554",NA,3.584661,3.587854,4.044499,4.148305,4.343375,4.080183,4.03606,4.537237,4.058448,3.963091,4.137192,4.02832
"10338555",NA,4.170182,4.501808,3.360348,4.859169,4.191362,4.433818,3.835652,3.939658,4.208649,3.997433,4.033004,4.017453
"10338556",NA,8.932055,9.174049,9.217944,9.304779,9.186926,9.632555,9.350678,9.40324,9.338597,9.143241,9.461817,9.242552
"10338557",NA,6.165772,6.772285,6.448142,6.813046,6.337717,6.879809,6.176369,6.777381,6.9995,7.09865,7.029572,7.107467
"10338558",NA,10.25695,10.34763,10.2586,10.04572,10.4677,10.43205,10.39997,10.50229,10.20913,10.4366,10.63464,10.51877
"10338559",NA,6.572649,5.873646,6.113252,6.263116,5.96884,5.830142,5.115321,5.612669,6.095055,5.747957,6.090012,5.690102
"10338560",NA,4.284248,4.219207,3.534075,3.667673,3.880646,3.897103,4.591043,4.114408,3.566212,3.458752,3.690886,3.556995
"10338561",NA,8.384099,8.129984,8.295913,8.33602,8.268997,8.420443,8.209461,8.315006,8.759719,8.804751,8.173158,8.246803
"10338562",NA,3.330265,3.189876,3.362988,3.351683,3.257919,3.762634,3.121412,3.505081,3.073081,3.318908,3.220408,3.149144
"10338563",NA,4.082655,3.975644,3.911372,4.687464,3.786461,4.240601,3.808289,4.36031,4.485793,4.421124,4.582329,4.025553
