"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pou3f3",-0.296164761904757,7.500272,-0.849416489840749,0.410686514415146,0.736170076781151,-5.85186100280853
"Mrps22",-0.143457071428568,8.51630461538462,-0.849032364306965,0.410892709747216,0.736441491853392,-5.8521799741426
"Sct",0.0680637857142878,6.34222276923077,0.848950231549353,0.410936806817669,0.736441491853392,-5.85224815907587
"Mgat5",-0.124385595238094,8.09033169230769,-0.848932282650101,0.41094644399769,0.736441491853392,-5.85226305910021
"Tbc1d12",0.103689357142863,7.58011476923077,0.848718730406239,0.41106111663867,0.736441491853392,-5.85244031488591
"Gstm3",-0.142328595238089,9.86341430769231,-0.848714604979818,0.411063332106466,0.736441491853392,-5.85244373874118
"1700116B05Rik",-0.0906602142857125,6.72182153846154,-0.848703104056834,0.411069508461159,0.736441491853392,-5.85245328373558
"Nsmf",-0.280306071428567,8.15136953846154,-0.848426781044192,0.411217921031735,0.736441491853392,-5.85268257857044
"A630012P03Rik",-0.0653636904761896,5.070591,-0.848296190731767,0.411288073194078,0.736441491853392,-5.85279092015373
"Gm1110",-1.2403365,6.623938,-0.848275099598338,0.411299403940513,0.736441491853392,-5.8528084165845
"Got2",-0.40140357142857,11.3606053846154,-0.848194062537129,0.41134294123856,0.736441491853392,-5.85287563834439
"Trnp1",0.061497976190477,7.57904253846154,0.848179385201945,0.411350826988193,0.736441491853392,-5.85288781285533
"Slc25a18",0.13804273809524,6.55481346153846,0.848176917695885,0.411352152724716,0.736441491853392,-5.8528898595762
"U90926",0.0823444285714308,4.79935969230769,0.848141640959201,0.411371106445886,0.736441491853392,-5.85291911996989
"Tmem200a",-0.0845001190476173,5.61310023076923,-0.848123937017593,0.411380618756111,0.736441491853392,-5.85293380414706
"Cenpo",0.0919130000000017,7.27037838461538,0.84809072868802,0.411398461951521,0.736441491853392,-5.85296134738767
"Or13a26",-0.0898930476190465,4.75495061538462,-0.847949782748275,0.411474199437429,0.736441491853392,-5.85307823830022
"Or5j1",-0.158726214285712,4.82304146153846,-0.847885057257747,0.411508982858652,0.736441491853392,-5.85313191137682
"Gm12359",0.0551458571428585,6.73165507692308,0.847862585351211,0.411521059696695,0.736441491853392,-5.85315054516329
"B3gat3",-0.102886095238096,8.96180353846154,-0.847850047023876,0.411527798138795,0.736441491853392,-5.85316094179811
"Mirlet7d",0.193378976190475,6.82752369230769,0.847834345114849,0.411536236879795,0.736441491853392,-5.85317396144431
"0610039K10Rik",-0.0680373571428552,5.784106,-0.84774637355378,0.411583517914161,0.736441491853392,-5.85324690136854
"Or4c52",-0.136259857142856,4.56859169230769,-0.847657048313394,0.411631530175027,0.736441491853392,-5.85332095675277
"Endov",0.074035309523814,7.48759,0.847584697588388,0.411670421362877,0.736441491853392,-5.85338093425002
"Rbbp4",0.0852502380952398,10.8307076923077,0.847434944231349,0.41175092705469,0.736441491853392,-5.85350506265958
"Tmem101",0.0780491666666689,5.55551769230769,0.847417597077022,0.411760253360052,0.736441491853392,-5.85351944020077
"Or6c206",-0.0716402142857118,3.957853,-0.847385984114483,0.41177724971437,0.736441491853392,-5.85354564074837
"Chrna10",-0.108753095238095,5.02089669230769,-0.847380995852555,0.411779931639808,0.736441491853392,-5.85354977489659
"Clca3a2",0.367461761904764,7.39601030769231,0.847334499171303,0.411804931010122,0.736441491853392,-5.8535883091513
"Rab6b",0.139565833333338,8.457699,0.847192251701461,0.411881417915621,0.73651650780987,-5.85370618541146
"Spaca9",-0.206742238095236,7.32374907692308,-0.847006687417304,0.411981210541633,0.73657405529116,-5.8538599304566
"Gm725",-0.111210904761904,5.24452146153846,-0.84700394741094,0.411982684180157,0.73657405529116,-5.85386220040082
"Trappc12",-0.0739906904761849,8.72865030769231,-0.846790767874349,0.412097347739812,0.736648588840611,-5.85403878778367
"Wfdc11",-0.467255095238089,8.42147523076923,-0.846787629764662,0.412099035802644,0.736648588840611,-5.85404138694191
"Adam8",-0.165810023809521,7.21695115384615,-0.846733769818615,0.412128009044667,0.736648588840611,-5.85408599542511
"Fbxl15",-0.0762480476190488,7.97606330769231,-0.846360416386324,0.412328886620215,0.736945870278222,-5.85439514865908
"Gfpt1",0.114040809523811,8.90400507692308,0.846177006062747,0.412427591696658,0.737060506649308,-5.85454697593361
