"","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10402211",9.217637,9.526877,8.674493,9.912771,8.752862,9.558582,9.674799,9.31592,9.150301,8.383155,9.332582,9.653172,8.376328
"10402225",8.339219,8.23781,8.304205,8.451539,8.194738,8.156445,8.107937,8.518833,8.378452,8.335392,8.32398,8.623672,8.912823
"10402249",8.519181,8.768714,8.461227,8.601139,8.584807,8.439816,8.538538,8.697556,8.598521,8.501701,8.594154,8.673565,8.218193
"10402262",8.427349,8.64248,8.63381,8.615576,8.447353,8.50221,8.624187,8.697117,8.005904,8.555177,8.045089,8.44832,8.49721
"10402266",5.027354,5.224058,5.1245,5.16762,4.992258,5.38881,5.195797,5.152786,5.058075,5.096406,4.974769,5.02865,6.001567
"10402268",10.48217,10.45306,10.06296,10.68909,10.12797,10.06016,10.46911,10.28864,10.40175,10.34854,10.82989,10.33352,9.623773
"10402283",8.91862,9.024849,9.577963,9.334017,9.611496,9.134241,9.418783,8.228947,8.032225,9.357084,8.449587,8.265616,7.618103
"10402294",6.915106,6.943876,6.864158,6.915205,7.080834,7.000615,6.786019,7.139564,6.859924,6.842476,7.030417,7.009614,6.933146
"10402302",8.629178,8.686727,8.672035,8.777278,8.655412,8.735455,8.759893,8.920356,8.835986,8.694949,9.011918,9.023046,8.412498
"10402314",12.6369,12.54197,12.68376,12.6415,12.72329,12.64605,12.63664,12.79987,12.86467,12.84361,12.82611,12.65062,12.81771
"10402316",12.43479,12.26259,12.35814,12.26327,12.38911,12.20303,12.2488,12.33482,12.49851,12.47859,12.54227,12.19188,12.2196
"10402318",6.813028,6.596225,6.601123,6.695246,6.59709,6.716866,6.872793,6.59393,6.721109,6.568438,6.616532,6.627192,6.862404
"10402325",7.357005,7.041497,6.923065,6.768752,6.959867,6.895998,6.863399,7.010423,6.703064,7.050903,6.739238,6.791316,8.018312
"10402334",6.390305,6.473621,6.57347,6.319128,6.293438,6.783229,6.716967,6.395076,6.902793,6.36017,6.901243,6.549269,6.415996
"10402336",9.151983,8.996568,8.841362,8.994013,9.008998,9.000111,8.934605,9.306622,8.934495,8.971155,8.811449,9.096378,8.102485
"10402347",10.24451,10.89013,11.0732,10.6239,9.008866,10.53553,10.42639,12.21209,11.33437,11.37285,11.35881,11.67973,10.24254
"10402353",6.817672,7.064119,6.817083,7.08911,6.701592,7.283148,6.963984,6.586892,6.765635,6.480573,6.717467,7.088151,7.105313
"10402360",6.005122,6.038439,6.014125,5.708098,5.69784,6.176435,5.963338,5.537433,5.920426,5.676698,5.937763,5.845853,6.789049
"10402368",5.946968,6.300731,4.969414,5.586846,4.968367,5.229345,5.454606,4.900531,4.961318,4.834617,4.86394,5.023499,6.051418
"10402378",11.63286,10.15154,9.613761,5.609956,10.8489,6.284273,5.363817,5.584937,5.42273,11.19884,5.925627,9.502378,5.268993
"10402383",12.91135,12.69277,12.33384,7.630933,12.59126,8.455739,6.413132,11.34586,7.141102,12.83857,9.610477,10.5058,5.460855
"10402390",8.118895,9.152355,5.903632,7.524378,7.18197,7.12123,7.59956,5.388319,5.767761,4.70288,5.55638,6.356075,6.748329
"10402394",6.440455,6.795609,5.159413,6.18231,5.276778,5.976191,5.958763,4.835682,4.999218,4.677574,4.584026,5.246919,4.845291
"10402399",8.17957,9.037962,6.100047,7.48304,7.056991,7.39542,7.527012,5.24781,6.141244,5.096459,5.826528,6.443169,5.794674
"10402406",8.984593,9.981299,5.621426,7.826195,6.665833,7.287866,7.582762,5.357206,5.171954,4.952686,5.31871,6.238095,4.673237
"10402409",10.38884,11.21511,8.301443,9.682151,9.206681,9.72495,9.753911,7.467149,8.318053,7.095893,7.998196,8.244623,7.992941
"10402415",5.689428,5.807899,5.918942,5.577871,5.568048,6.00324,5.930883,5.502348,5.706501,5.533058,5.633354,5.537672,6.215612
"10402422",4.621495,4.555346,4.655524,4.566993,4.564887,4.622986,4.874579,4.518078,4.61402,4.492975,4.60758,4.570339,4.757191
"10402428",5.048922,5.279552,5.071638,4.890839,5.00906,5.402032,5.421736,5.035215,4.950316,4.910527,5.027411,5.013934,5.034781
"10402435",11.06088,11.89126,11.44864,11.99999,11.25665,12.00774,12.00043,12.06232,11.66602,10.51238,11.06641,11.81485,9.373325
"10402440",7.264486,7.238506,6.959934,7.269263,6.869375,7.184672,7.125699,7.102195,6.99279,7.20806,6.89407,7.181829,7.320044
"10402444",9.385157,9.178839,9.435739,9.278308,9.41928,9.281141,9.122399,9.788801,9.621218,9.639952,9.719049,9.502797,9.343107
"10402473",7.921119,8.088359,8.765351,8.102431,8.817641,8.177269,7.662791,9.316831,9.749527,9.275709,9.066522,8.692462,7.662427
"10402490",7.002112,7.331841,6.780286,7.494317,6.662398,7.613122,7.495932,8.644829,8.553543,6.892088,8.114206,7.845316,7.487565
"10402512",9.302001,9.553604,9.287429,9.37617,8.77355,9.387976,9.348471,9.873579,10.25837,9.134509,9.765631,9.661339,10.15998
"10402514",4.690182,4.725606,4.894362,4.636185,4.541605,4.882135,5.040634,4.396832,4.837016,4.545428,4.681469,4.660386,4.642447
"10402519",8.405903,8.019083,8.253899,8.119675,8.433121,8.027757,7.791004,8.455274,8.325362,8.470276,8.218403,8.379163,8.145489
"10402542",8.635486,8.171529,8.574756,8.235946,8.531617,8.28965,8.039485,8.691232,8.50195,8.605261,8.47527,8.705667,8.390103
"10402551",5.559606,5.609519,5.619304,5.666771,5.503838,5.653006,5.584505,5.719513,5.521646,5.539649,5.437635,5.556255,5.532901
"10402554",6.60837,6.620478,6.704797,6.239856,6.489079,6.713295,6.859403,6.264725,6.462345,6.354063,6.47052,6.354373,7.376454
"10402560",5.87816,5.705703,5.728771,5.642039,5.685313,5.727427,5.785373,5.678503,5.570598,5.727427,5.764566,5.679816,6.502064
"10402564",9.161414,9.162348,9.228828,9.378476,9.19048,9.398809,9.386249,9.340364,9.083905,9.240185,9.026401,9.384361,8.653918
"10402570",6.423186,6.433684,6.897942,6.452783,6.596531,6.98606,6.849815,6.324479,6.779858,6.507259,6.497776,6.598604,6.518583
"10402572",7.466901,7.534236,7.428268,7.273518,7.20738,7.633314,7.443342,7.104955,7.440515,7.268729,7.352302,7.396125,7.911555
"10402575",6.572961,6.110886,7.181017,6.099043,7.066582,6.325357,6.100404,6.236044,6.202027,7.351773,6.503035,6.183136,6.028311
"10402579",7.11554,6.942266,7.16728,6.809566,6.950023,6.930912,6.785458,6.818578,7.025666,7.070982,6.635862,6.93622,7.125486
"10402585",11.68304,10.84136,11.28304,9.631244,11.44029,9.886728,9.522139,10.01063,9.198193,11.7613,9.473648,9.525142,10.37921
"10402598",6.285481,6.292559,6.2677,6.106362,6.023292,6.399916,6.342206,6.245948,6.055593,6.041918,6.123728,6.156707,6.608235
"10402604",4.991848,5.054925,4.836253,5.175255,4.910482,5.046336,4.960983,5.036404,5.089009,4.966212,5.188902,4.719581,5.296019
"10402606",6.208746,5.968809,6.558739,6.09206,6.373835,6.688258,6.430693,6.252123,6.02166,6.251008,6.168753,6.355324,6.633348
"10402608",5.858683,5.656556,5.618515,5.255592,6.665388,6.110956,5.940279,5.360405,5.846539,5.830143,5.859309,5.698567,5.789433
"10402615",10.30938,10.52295,10.52916,10.6751,10.99448,10.54599,10.59798,10.29748,10.1109,10.43746,10.82552,10.37465,9.723526
"10402630",5.911316,5.665207,6.236263,6.073468,6.974043,6.070228,5.941525,5.822864,5.967909,6.465731,6.553089,6.059269,5.792583
"10402648",10.99181,11.54603,11.3123,11.69103,11.17307,11.87137,11.58737,11.29703,10.85758,10.87212,10.64823,11.32521,10.47985
"10402650",8.658836,8.804579,8.704267,8.852658,8.57279,8.599688,8.717974,8.640349,8.272357,8.656024,8.348275,8.533526,8.307403
"10402659",7.892169,7.194939,7.21259,6.886676,7.36752,7.500948,7.359711,7.142797,6.86322,7.312389,6.766007,6.864498,7.113165
"10402665",8.931096,8.965869,8.862102,9.100175,8.937825,9.010938,9.041779,9.166154,8.977697,8.933814,9.280296,9.114613,8.463202
"10402703",6.440673,6.531116,6.541981,6.230443,6.346162,6.591272,6.739038,6.193382,6.646148,6.426114,6.654199,6.369546,6.510911
"10402705",7.280141,6.486286,7.763632,5.851357,7.835007,6.31068,6.15679,6.309517,6.304328,8.327653,6.260979,6.187481,6.109128
"10402708",11.15102,10.80947,10.67987,10.74596,10.84921,10.81641,10.54931,10.77264,10.2615,11.12519,10.83563,10.61724,9.75351
"10402715",7.941202,7.926788,7.734334,7.900259,8.290634,7.696208,7.836667,8.083136,7.830109,7.898681,7.883919,7.907744,7.713236
"10402721",7.788398,7.702316,7.886003,7.877425,7.661364,8.081726,7.980943,7.735487,7.993625,7.668283,7.83403,7.620137,7.566958
"10402730",9.484549,8.287638,8.636771,8.253014,8.755613,8.239548,8.151624,8.197154,7.957029,9.019547,8.074814,8.390922,7.88867
