"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10473509","Or5t9",3.600893,3.721079,3.987544,4.106814,3.97585,3.852453,3.948206,3.750474,3.71036,3.749246,3.746489,3.825804
"10445139","Or5v1",4.424985,4.500534,4.83258,4.609691,4.62184,4.603777,4.646962,4.456801,4.622884,4.442488,4.494813,4.472731
"10445141","Or5v1b",4.760287,4.671277,5.233153,5.174173,4.645697,4.905574,4.955465,4.534125,4.921961,4.773098,4.455817,4.535933
"10484683","Or5w1",4.326195,4.514823,5.636515,5.954575,4.623931,5.374095,4.737502,4.555472,4.536478,4.453753,4.401173,4.480123
"10484675","Or5w10",4.729437,4.978129,5.364366,5.558075,4.998015,5.083829,4.90771,4.784714,4.948974,4.889824,4.823126,4.879713
"10473557","Or5w11",3.567105,3.892109,4.797567,5.370048,4.065474,4.195052,4.039768,3.495251,3.58029,3.767649,3.597749,3.734789
"10484685","Or5w12",3.68363,3.851341,3.87944,4.115741,3.805142,3.870859,3.938191,3.527402,3.916363,3.63434,3.593684,3.749064
"10484687","Or5w13",3.839974,3.817642,4.253715,4.509333,4.141159,4.217981,4.199732,3.777106,3.967969,4.045997,4.032347,4.120377
"10484689","Or5w14",4.240092,4.300398,4.421984,4.901473,4.425738,4.282497,4.260798,4.083796,4.200925,4.179421,4.211487,4.335995
"10484691","Or5w15",3.980425,4.401052,4.769592,4.91383,4.452773,4.618149,4.121546,4.161707,4.374673,4.206333,4.345442,4.300115
"10473559","Or5w16",3.95827,3.935971,4.184253,4.345065,4.129166,4.264234,4.010935,3.928319,3.857508,3.767773,3.771023,3.797082
"10484693","Or5w17",4.218375,4.318508,4.551498,4.975449,4.368392,4.201122,4.207441,4.042233,4.381583,4.359918,4.264754,4.44876
"10473564","Or5w18",4.10553,4.471058,4.696266,4.534835,4.46615,4.244412,4.057782,4.055815,4.165372,4.245002,4.07991,4.101957
"10473576","Or5w19",5.709476,6.10193,6.657825,6.724236,6.542671,6.690403,6.220925,6.311852,6.183206,6.209798,6.207485,6.030697
"10484681","Or5w1b",4.542692,4.698359,5.302934,5.316263,4.588898,4.816498,4.892308,4.57332,4.93849,4.563678,4.789203,4.857591
"10473578","Or5w20",4.240092,4.568605,4.974535,5.442263,4.460177,4.717854,4.607455,4.409013,4.309406,4.437309,4.401158,4.535547
"10473551","Or5w22",4.20536,4.4568,5.462185,5.873044,4.252864,4.436476,4.169085,4.422585,4.43629,4.529847,4.524244,4.365489
"10473574","Or5w8",4.343869,4.406061,5.054931,4.588858,4.842886,4.828824,4.586483,4.582679,4.415487,4.347506,4.513153,4.552853
"10566622","Or6a2",3.699943,3.652333,3.845719,4.126755,3.751228,3.685836,3.732613,3.743275,3.918168,3.798776,3.709488,3.622977
"10565395","Or6aa1",4.243412,4.504152,4.833381,5.103198,4.785489,4.567564,4.291328,4.444346,4.510825,4.396822,4.515274,4.450239
"10568951","Or6ae1",5.497462,5.809146,5.803434,5.676304,5.458047,5.544676,5.579973,5.453931,5.82709,5.555013,5.454165,5.898717
"10537801","Or6b1",4.633471,4.771274,5.340928,5.4725,5.04241,5.005898,5.046618,4.673017,5.019682,4.867508,4.769997,4.890427
"10568954","Or6b13",6.749777,6.680556,6.573522,6.835275,6.411949,6.772457,6.681279,6.578946,6.882708,6.764963,6.429388,6.663777
"10356671","Or6b2",4.988031,5.564992,5.139592,5.419337,4.654187,4.855898,4.645169,4.872599,5.164061,5.26672,5.135635,5.17489
"10356673","Or6b2b",6.529859,6.680257,7.348883,7.320816,6.94246,7.03494,6.592694,6.410323,6.851221,6.823831,6.659847,6.773564
"10356675","Or6b3",4.622777,4.693109,4.856491,5.063814,4.6702,4.586381,4.812716,4.696715,4.824342,4.768517,4.786177,4.951477
"10566620","Or6b6",4.38719,4.617561,4.801319,5.149579,4.854221,4.978948,4.734255,4.578447,4.739223,5.042772,4.917309,4.901318
"10566618","Or6b9",4.28861,4.418778,5.097579,5.045692,4.331938,4.655805,4.523999,4.247329,4.513571,4.485676,4.378748,4.314758
"10373632","Or6c1",4.043721,4.326146,4.240494,4.506308,4.210682,4.136507,3.877706,4.07114,4.065613,4.052639,4.03526,4.278395
"10367495","Or6c1b",3.692112,3.86627,4.279069,4.193089,3.954068,4.078811,4.158593,3.690336,3.801345,3.907063,3.89714,3.862045
"10367505","Or6c2",3.839711,3.984721,4.128438,4.171609,3.925652,4.601651,4.073524,3.977303,4.016506,3.98141,3.835494,3.85334
"10373616","Or6c201",4.590914,4.64889,5.125517,4.630796,4.630366,4.877404,4.791245,4.320716,4.753085,4.624995,4.506953,4.651494
"10373618","Or6c202",4.10406,3.780315,4.044532,3.849421,4.02754,3.874442,4.157469,3.909817,3.856559,3.809665,4.060183,3.944748
"10373620","Or6c203",3.548251,3.629772,3.653315,4.604276,3.846066,3.66324,3.539544,3.588264,3.541782,3.567664,3.614432,3.756258
"10373622","Or6c204",4.202533,4.284864,5.258039,5.422005,4.667157,4.75905,4.461887,4.022883,4.50887,4.236233,4.130705,4.328341
"10367479","Or6c205",3.759557,4.098477,4.386766,4.251123,4.304367,4.421839,4.038712,3.915656,3.885125,3.867062,3.848485,3.957023
"10367481","Or6c206",3.379861,3.628365,3.954715,4.237494,3.490129,3.448467,3.299115,3.489773,3.654161,3.7259,3.456799,3.606629
"10373624","Or6c207",3.610768,3.97576,3.934978,4.493392,3.967842,4.145261,3.988582,3.578075,3.643633,3.710924,3.68193,3.767323
"10367491","Or6c208",4.119603,4.183589,4.737691,5.355944,4.315838,4.663181,4.280194,3.933654,4.283094,4.361517,4.292539,4.3291
"10367511","Or6c209",3.93502,4.045365,4.262431,4.860603,3.79755,4.085227,3.792986,4.076769,3.842689,4.100211,4.164142,4.101584
"10367513","Or6c210",3.611668,4.010953,4.157853,4.25584,3.955469,4.140364,3.940098,3.597123,3.74871,3.850328,3.721752,3.926362
"10373630","Or6c211",4.197723,4.109274,4.488721,5.000257,4.401037,4.387779,4.743566,4.188767,4.514704,4.438508,4.242515,4.214325
"10373636","Or6c212",4.25388,4.349356,4.460074,4.771877,4.271012,4.498522,4.416979,4.155978,4.159646,4.360859,4.149838,4.366424
"10373638","Or6c213",3.387565,3.337437,3.538953,3.20935,3.178407,3.302459,3.381782,3.344711,3.445695,3.167648,3.272831,3.324837
"10373640","Or6c214",5.558349,5.7525,6.351189,6.102243,5.860596,6.037905,5.932954,5.675838,5.799806,5.898378,5.790309,5.839087
